time	global_subbeat	fields
27.44	140	timestamp=27.44; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=76:track=0:dur_bin=3:dur_steps=4]
28.24	144	timestamp=28.24; rhythm=eighth_position:2; melody=[pitch=78:track=0:dur_bin=3:dur_steps=4]
29.0	148	timestamp=29.0; rhythm=eighth_position:4; melody=[pitch=79:track=0:dur_bin=4:dur_steps=6]
29.84	152	timestamp=29.84; rhythm=eighth_position:6
30.6	156	timestamp=30.6; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=79:track=0:dur_bin=1:dur_steps=2]
31.020000000000003	158	melody=[pitch=79:track=0:dur_bin=1:dur_steps=2]
31.44	160	timestamp=31.44; rhythm=eighth_position:2; melody=[pitch=88:track=0:dur_bin=4:dur_steps=6]
32.2	164	timestamp=32.2; rhythm=eighth_position:4
32.6	166	melody=[pitch=86:track=0:dur_bin=1:dur_steps=2]
33.0	168	timestamp=33.0; rhythm=eighth_position:6; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
33.8	172	timestamp=33.8; rhythm=eighth_position:0; chord=G:maj6; melody=[pitch=83:track=0:dur_bin=4:dur_steps=6]
34.6	176	timestamp=34.6; rhythm=eighth_position:2
35.4	180	timestamp=35.4; rhythm=eighth_position:4; melody=[pitch=81:track=0:dur_bin=1:dur_steps=2]
35.82	182	melody=[pitch=83:track=0:dur_bin=1:dur_steps=2]
36.24	184	timestamp=36.24; rhythm=eighth_position:6; chord=C:maj; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
37.0	188	timestamp=37.0; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
37.84	192	timestamp=37.84; rhythm=eighth_position:2; melody=[pitch=79:track=0:dur_bin=3:dur_steps=4]
38.64	196	timestamp=38.64; rhythm=eighth_position:4; melody=[pitch=76:track=0:dur_bin=3:dur_steps=4]
39.48	200	timestamp=39.48; rhythm=eighth_position:6; melody=[pitch=72:track=0:dur_bin=4:dur_steps=6]
40.2	204	timestamp=40.2; rhythm=eighth_position:0; chord=C:maj
40.92	208	timestamp=40.92; rhythm=eighth_position:2
41.68	212	timestamp=41.68; rhythm=eighth_position:4; melody=[pitch=88:track=0:dur_bin=1:dur_steps=2]
42.06	214	melody=[pitch=88:track=0:dur_bin=1:dur_steps=2]
42.44	216	timestamp=42.44; rhythm=eighth_position:6; melody=[pitch=88:track=0:dur_bin=3:dur_steps=4]
43.24	220	timestamp=43.24; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=89:track=0:dur_bin=3:dur_steps=4]
43.96	224	timestamp=43.96; rhythm=eighth_position:2; melody=[pitch=91:track=0:dur_bin=3:dur_steps=4]
44.68	228	timestamp=44.68; rhythm=eighth_position:4; melody=[pitch=91:track=0:dur_bin=4:dur_steps=6]
45.52	232	timestamp=45.52; rhythm=eighth_position:6
46.28	236	timestamp=46.28; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=89:track=0:dur_bin=1:dur_steps=2]
46.7	238	melody=[pitch=88:track=0:dur_bin=1:dur_steps=2]
47.12	240	timestamp=47.12; rhythm=eighth_position:2; melody=[pitch=86:track=0:dur_bin=3:dur_steps=4]
47.8	244	timestamp=47.8; rhythm=eighth_position:4; melody=[pitch=88:track=0:dur_bin=3:dur_steps=4]
48.4	248	timestamp=48.4; rhythm=eighth_position:6; melody=[pitch=89:track=0:dur_bin=1:dur_steps=2]
48.72	250	melody=[pitch=89:track=0:dur_bin=3:dur_steps=4]
49.04	252	timestamp=49.04; rhythm=eighth_position:0; chord=C:maj
49.44	254	melody=[pitch=89:track=0:dur_bin=3:dur_steps=4]
49.84	256	timestamp=49.84; rhythm=eighth_position:2
50.64	260	timestamp=50.64; rhythm=eighth_position:4; melody=[pitch=89:track=0:dur_bin=1:dur_steps=2]
51.04	262	melody=[pitch=89:track=0:dur_bin=3:dur_steps=4]
51.44	264	timestamp=51.44; rhythm=eighth_position:6
51.84	266	melody=[pitch=88:track=0:dur_bin=4:dur_steps=6]
52.24	268	timestamp=52.24; rhythm=eighth_position:0; chord=C:maj
52.88	272	timestamp=52.88; rhythm=eighth_position:2; melody=[pitch=86:track=0:dur_bin=1:dur_steps=2]
53.2	274	melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
53.52	276	timestamp=53.52; rhythm=eighth_position:4
53.84	278	melody=[pitch=83:track=0:dur_bin=4:dur_steps=6]
54.16	280	timestamp=54.16; rhythm=eighth_position:6; chord=G:maj6
54.8	284	timestamp=54.8; rhythm=eighth_position:0; chord=G:maj6
55.52	288	timestamp=55.52; rhythm=eighth_position:2; melody=[pitch=81:track=0:dur_bin=1:dur_steps=2]
55.88	290	melody=[pitch=83:track=0:dur_bin=1:dur_steps=2]
56.24	292	timestamp=56.24; rhythm=eighth_position:4; chord=C:maj; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
56.96	296	timestamp=56.96; rhythm=eighth_position:6; melody=[pitch=76:track=0:dur_bin=3:dur_steps=4]
57.84	300	timestamp=57.84; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=78:track=0:dur_bin=3:dur_steps=4]
58.72	304	timestamp=58.72; rhythm=eighth_position:2; melody=[pitch=79:track=0:dur_bin=4:dur_steps=6]
59.48	308	timestamp=59.48; rhythm=eighth_position:4
59.84	310	melody=[pitch=64:track=1:dur_bin=3:dur_steps=4]
60.2	312	timestamp=60.2; rhythm=eighth_position:6
60.52	314	melody=[pitch=67:track=1:dur_bin=3:dur_steps=4]
60.84	316	timestamp=60.84; rhythm=eighth_position:0; structure=interlude; chord=C:maj
61.16	318	melody=[pitch=72:track=1:dur_bin=5:dur_steps=8]
61.48	320	timestamp=61.48; rhythm=eighth_position:2
62.16	324	timestamp=62.16; rhythm=eighth_position:4; chord=A:min
62.5	326	melody=[pitch=69:track=1:dur_bin=3:dur_steps=4]
62.84	328	timestamp=62.84; rhythm=eighth_position:6
63.14	330	melody=[pitch=72:track=1:dur_bin=3:dur_steps=4]
63.44	332	timestamp=63.44; rhythm=eighth_position:0; chord=A:min
63.76	334	melody=[pitch=69:track=1:dur_bin=3:dur_steps=4]
64.08	336	timestamp=64.08; rhythm=eighth_position:2
64.4	338	melody=[pitch=64:track=1:dur_bin=3:dur_steps=4]
64.72	340	timestamp=64.72; rhythm=eighth_position:4; chord=F:maj
65.03999999999999	342	melody=[pitch=65:track=1:dur_bin=5:dur_steps=8]
65.36	344	timestamp=65.36; rhythm=eighth_position:6
66.0	348	timestamp=66.0; rhythm=eighth_position:0; chord=F:maj
66.32	350	melody=[pitch=69:track=1:dur_bin=3:dur_steps=4]
66.64	352	timestamp=66.64; rhythm=eighth_position:2
66.96000000000001	354	melody=[pitch=72:track=1:dur_bin=3:dur_steps=4]
67.28	356	timestamp=67.28; rhythm=eighth_position:4; chord=G:maj
67.6	358	melody=[pitch=71:track=1:dur_bin=3:dur_steps=4]
67.92	360	timestamp=67.92; rhythm=eighth_position:6
68.24000000000001	362	melody=[pitch=71:track=1:dur_bin=5:dur_steps=8]
68.56	364	timestamp=68.56; rhythm=eighth_position:0; chord=G:maj
69.2	368	timestamp=69.2; rhythm=eighth_position:2; chord=C:maj
69.52000000000001	370	melody=[pitch=72:track=1:dur_bin=3:dur_steps=4]
69.84	372	timestamp=69.84; rhythm=eighth_position:4
70.16	374	melody=[pitch=71:track=1:dur_bin=1:dur_steps=2]
70.48	376	timestamp=70.48; rhythm=eighth_position:6; melody=[pitch=72:track=1:dur_bin=1:dur_steps=2]
70.80000000000001	378	melody=[pitch=76:track=1:dur_bin=5:dur_steps=8]
71.12	380	timestamp=71.12; rhythm=eighth_position:0; chord=C:maj
71.76	384	timestamp=71.76; rhythm=eighth_position:2; chord=A:min
72.08000000000001	386	melody=[pitch=76:track=1:dur_bin=3:dur_steps=4]
72.4	388	timestamp=72.4; rhythm=eighth_position:4
72.72	390	melody=[pitch=72:track=1:dur_bin=3:dur_steps=4]
73.04	392	timestamp=73.04; rhythm=eighth_position:6
73.36000000000001	394	melody=[pitch=69:track=1:dur_bin=5:dur_steps=8]
73.68	396	timestamp=73.68; rhythm=eighth_position:0; chord=A:min
74.32	400	timestamp=74.32; rhythm=eighth_position:2; chord=D:min; melody=[pitch=65:track=1:dur_bin=3:dur_steps=4]
74.96	404	timestamp=74.96; rhythm=eighth_position:4; melody=[pitch=69:track=1:dur_bin=3:dur_steps=4]
75.6	408	timestamp=75.6; rhythm=eighth_position:6; melody=[pitch=74:track=1:dur_bin=3:dur_steps=4]
76.24	412	timestamp=76.24; rhythm=eighth_position:0; chord=G:maj; melody=[pitch=72:track=1:dur_bin=3:dur_steps=4]
76.88	416	timestamp=76.88; rhythm=eighth_position:2
77.52	420	timestamp=77.52; rhythm=eighth_position:4; melody=[pitch=67:track=1:dur_bin=5:dur_steps=8]
78.16	424	timestamp=78.16; rhythm=eighth_position:6
78.8	428	timestamp=78.8; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=67:track=1:dur_bin=3:dur_steps=4]
79.44	432	timestamp=79.44; rhythm=eighth_position:2; melody=[pitch=64:track=1:dur_bin=3:dur_steps=4]
80.08	436	timestamp=80.08; rhythm=eighth_position:4; melody=[pitch=67:track=1:dur_bin=3:dur_steps=4]
80.72	440	timestamp=80.72; rhythm=eighth_position:6; melody=[pitch=72:track=1:dur_bin=3:dur_steps=4]
81.36	444	timestamp=81.36; rhythm=eighth_position:0; chord=E:min; melody=[pitch=71:track=1:dur_bin=5:dur_steps=8]
82.0	448	timestamp=82.0; rhythm=eighth_position:2
82.64	452	timestamp=82.64; rhythm=eighth_position:4; melody=[pitch=67:track=1:dur_bin=3:dur_steps=4]
83.28	456	timestamp=83.28; rhythm=eighth_position:6; melody=[pitch=64:track=1:dur_bin=3:dur_steps=4]
83.92	460	timestamp=83.92; rhythm=eighth_position:0; chord=F:maj; melody=[pitch=69:track=1:dur_bin=3:dur_steps=4]
84.56	464	timestamp=84.56; rhythm=eighth_position:2; melody=[pitch=72:track=1:dur_bin=1:dur_steps=2]
84.88	466	melody=[pitch=69:track=1:dur_bin=1:dur_steps=2]
85.2	468	timestamp=85.2; rhythm=eighth_position:4; melody=[pitch=65:track=1:dur_bin=5:dur_steps=8]
85.84	472	timestamp=85.84; rhythm=eighth_position:6
86.48	476	timestamp=86.48; rhythm=eighth_position:0; chord=G:maj; melody=[pitch=67:track=1:dur_bin=3:dur_steps=4]
87.12	480	timestamp=87.12; rhythm=eighth_position:2; melody=[pitch=71:track=1:dur_bin=3:dur_steps=4]
87.76	484	timestamp=87.76; rhythm=eighth_position:4; melody=[pitch=74:track=1:dur_bin=5:dur_steps=8]
88.4	488	timestamp=88.4; rhythm=eighth_position:6; chord=F:maj
89.04	492	timestamp=89.04; rhythm=eighth_position:0; chord=F:maj; melody=[pitch=72:track=1:dur_bin=3:dur_steps=4]
89.68	496	timestamp=89.68; rhythm=eighth_position:2; melody=[pitch=69:track=1:dur_bin=3:dur_steps=4]
90.32	500	timestamp=90.32; rhythm=eighth_position:4; chord=G:maj; melody=[pitch=74:track=1:dur_bin=3:dur_steps=4]
90.96	504	timestamp=90.96; rhythm=eighth_position:6; melody=[pitch=71:track=1:dur_bin=3:dur_steps=4]
91.6	508	timestamp=91.6; rhythm=eighth_position:0; chord=G:maj; melody=[pitch=67:track=1:dur_bin=5:dur_steps=8]
92.24	512	timestamp=92.24; rhythm=eighth_position:2
92.88	516	timestamp=92.88; rhythm=eighth_position:4; chord=C:maj
93.19999999999999	518	melody=[pitch=64:track=1:dur_bin=3:dur_steps=4]
93.52	520	timestamp=93.52; rhythm=eighth_position:6
93.84	522	melody=[pitch=67:track=1:dur_bin=3:dur_steps=4]
94.16	524	timestamp=94.16; rhythm=eighth_position:0; chord=C:maj
94.47999999999999	526	melody=[pitch=72:track=1:dur_bin=6:dur_steps=12]
94.8	528	timestamp=94.8; rhythm=eighth_position:2
95.44	532	timestamp=95.44; rhythm=eighth_position:4
96.08	536	timestamp=96.08; rhythm=eighth_position:6
96.72	540	timestamp=96.72; rhythm=eighth_position:0; chord=C:maj
97.36	544	timestamp=97.36; rhythm=eighth_position:2
98.0	548	timestamp=98.0; rhythm=eighth_position:4
98.64	552	timestamp=98.64; rhythm=eighth_position:6
99.28	556	timestamp=99.28; rhythm=eighth_position:0; structure=verse; chord=C:maj
99.92	560	timestamp=99.92; rhythm=eighth_position:2
100.56	564	timestamp=100.56; rhythm=eighth_position:4; melody=[pitch=79:track=0:dur_bin=3:dur_steps=4]
101.2	568	timestamp=101.2; rhythm=eighth_position:6; melody=[pitch=76:track=0:dur_bin=1:dur_steps=2]
101.56	570	melody=[pitch=76:track=0:dur_bin=1:dur_steps=2]
101.92	572	timestamp=101.92; rhythm=eighth_position:0; structure=verse; chord=C:maj; melody=[pitch=72:track=0:dur_bin=3:dur_steps=4]
102.64	576	timestamp=102.64; rhythm=eighth_position:2; melody=[pitch=76:track=0:dur_bin=3:dur_steps=4]
103.36	580	timestamp=103.36; rhythm=eighth_position:4; melody=[pitch=84:track=0:dur_bin=5:dur_steps=8]
104.08	584	timestamp=104.08; rhythm=eighth_position:6
104.8	588	timestamp=104.8; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=88:track=0:dur_bin=1:dur_steps=2]
105.16	590	melody=[pitch=88:track=0:dur_bin=1:dur_steps=2]
105.52	592	timestamp=105.52; rhythm=eighth_position:2; melody=[pitch=86:track=0:dur_bin=1:dur_steps=2]
105.88	594	melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
106.24	596	timestamp=106.24; rhythm=eighth_position:4
106.6	598	melody=[pitch=78:track=0:dur_bin=3:dur_steps=4]
106.96	600	timestamp=106.96; rhythm=eighth_position:6; chord=G:maj6
107.68	604	timestamp=107.68; rhythm=eighth_position:0; chord=G:maj6
108.4	608	timestamp=108.4; rhythm=eighth_position:2; melody=[pitch=79:track=0:dur_bin=3:dur_steps=4]
109.12	612	timestamp=109.12; rhythm=eighth_position:4
109.84	616	timestamp=109.84; rhythm=eighth_position:6; melody=[pitch=79:track=0:dur_bin=1:dur_steps=2]
110.2	618	melody=[pitch=79:track=0:dur_bin=1:dur_steps=2]
110.56	620	timestamp=110.56; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=88:track=0:dur_bin=4:dur_steps=6]
111.28	624	timestamp=111.28; rhythm=eighth_position:2
111.64	626	melody=[pitch=86:track=0:dur_bin=1:dur_steps=2]
112.0	628	timestamp=112.0; rhythm=eighth_position:4; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
112.72	632	timestamp=112.72; rhythm=eighth_position:6; chord=G:maj6; melody=[pitch=83:track=0:dur_bin=4:dur_steps=6]
113.44	636	timestamp=113.44; rhythm=eighth_position:0; chord=G:maj6
114.16	640	timestamp=114.16; rhythm=eighth_position:2
114.88	644	timestamp=114.88; rhythm=eighth_position:4; melody=[pitch=81:track=0:dur_bin=1:dur_steps=2]
115.24	646	melody=[pitch=83:track=0:dur_bin=1:dur_steps=2]
115.6	648	timestamp=115.6; rhythm=eighth_position:6; chord=C:maj; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
116.32	652	timestamp=116.32; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
117.04	656	timestamp=117.04; rhythm=eighth_position:2; melody=[pitch=79:track=0:dur_bin=3:dur_steps=4]
117.76	660	timestamp=117.76; rhythm=eighth_position:4; melody=[pitch=76:track=0:dur_bin=3:dur_steps=4]
118.48	664	timestamp=118.48; rhythm=eighth_position:6; melody=[pitch=72:track=0:dur_bin=3:dur_steps=4]
119.2	668	timestamp=119.2; rhythm=eighth_position:0; chord=C:maj
119.92	672	timestamp=119.92; rhythm=eighth_position:2; melody=[pitch=79:track=0:dur_bin=3:dur_steps=4]
120.64	676	timestamp=120.64; rhythm=eighth_position:4; melody=[pitch=76:track=0:dur_bin=1:dur_steps=2]
121.0	678	melody=[pitch=72:track=0:dur_bin=3:dur_steps=4]
121.36	680	timestamp=121.36; rhythm=eighth_position:6
121.72	682	melody=[pitch=76:track=0:dur_bin=3:dur_steps=4]
122.08	684	timestamp=122.08; rhythm=eighth_position:0; chord=C:maj
122.44	686	melody=[pitch=79:track=0:dur_bin=3:dur_steps=4]
122.8	688	timestamp=122.8; rhythm=eighth_position:2
123.16	690	melody=[pitch=84:track=0:dur_bin=4:dur_steps=6]
123.52	692	timestamp=123.52; rhythm=eighth_position:4
124.24	696	timestamp=124.24; rhythm=eighth_position:6; melody=[pitch=84:track=0:dur_bin=4:dur_steps=6]
124.96	700	timestamp=124.96; rhythm=eighth_position:0; chord=C:maj
125.68	704	timestamp=125.68; rhythm=eighth_position:2; melody=[pitch=88:track=0:dur_bin=1:dur_steps=2]
126.04	706	melody=[pitch=88:track=0:dur_bin=1:dur_steps=2]
126.4	708	timestamp=126.4; rhythm=eighth_position:4; melody=[pitch=86:track=0:dur_bin=1:dur_steps=2]
126.76	710	melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
127.12	712	timestamp=127.12; rhythm=eighth_position:6
127.48	714	melody=[pitch=78:track=0:dur_bin=3:dur_steps=4]
127.84	716	timestamp=127.84; rhythm=eighth_position:0; chord=G:maj6
128.2	718	melody=[pitch=79:track=0:dur_bin=4:dur_steps=6]
128.56	720	timestamp=128.56; rhythm=eighth_position:2
129.28	724	timestamp=129.28; rhythm=eighth_position:4; melody=[pitch=79:track=0:dur_bin=1:dur_steps=2]
129.64	726	melody=[pitch=79:track=0:dur_bin=1:dur_steps=2]
130.0	728	timestamp=130.0; rhythm=eighth_position:6; chord=C:maj; melody=[pitch=88:track=0:dur_bin=4:dur_steps=6]
130.72	732	timestamp=130.72; rhythm=eighth_position:0; chord=C:maj
131.07999999999998	734	melody=[pitch=86:track=0:dur_bin=1:dur_steps=2]
131.44	736	timestamp=131.44; rhythm=eighth_position:2; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
132.16	740	timestamp=132.16; rhythm=eighth_position:4; chord=G:maj6; melody=[pitch=83:track=0:dur_bin=4:dur_steps=6]
132.88	744	timestamp=132.88; rhythm=eighth_position:6
133.6	748	timestamp=133.6; rhythm=eighth_position:0; chord=G:maj6; melody=[pitch=81:track=0:dur_bin=1:dur_steps=2]
133.95999999999998	750	melody=[pitch=83:track=0:dur_bin=1:dur_steps=2]
134.32	752	timestamp=134.32; rhythm=eighth_position:2; chord=C:maj; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
135.04	756	timestamp=135.04; rhythm=eighth_position:4; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
135.76	760	timestamp=135.76; rhythm=eighth_position:6; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
136.48	764	timestamp=136.48; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=79:track=0:dur_bin=3:dur_steps=4]
137.2	768	timestamp=137.2; rhythm=eighth_position:2; melody=[pitch=76:track=0:dur_bin=3:dur_steps=4]
137.92	772	timestamp=137.92; rhythm=eighth_position:4; melody=[pitch=76:track=0:dur_bin=3:dur_steps=4]
138.64	776	timestamp=138.64; rhythm=eighth_position:6; melody=[pitch=72:track=0:dur_bin=4:dur_steps=6]
139.36	780	timestamp=139.36; rhythm=eighth_position:0; chord=C:maj
140.08	784	timestamp=140.08; rhythm=eighth_position:2
140.8	788	timestamp=140.8; rhythm=eighth_position:4; melody=[pitch=88:track=0:dur_bin=1:dur_steps=2]
141.16000000000003	790	melody=[pitch=88:track=0:dur_bin=1:dur_steps=2]
141.52	792	timestamp=141.52; rhythm=eighth_position:6; melody=[pitch=88:track=0:dur_bin=3:dur_steps=4]
142.24	796	timestamp=142.24; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=89:track=0:dur_bin=3:dur_steps=4]
142.96	800	timestamp=142.96; rhythm=eighth_position:2; melody=[pitch=91:track=0:dur_bin=1:dur_steps=2]
143.32	802	melody=[pitch=91:track=0:dur_bin=3:dur_steps=4]
143.68	804	timestamp=143.68; rhythm=eighth_position:4
144.04000000000002	806	melody=[pitch=91:track=0:dur_bin=4:dur_steps=6]
144.4	808	timestamp=144.4; rhythm=eighth_position:6
145.12	812	timestamp=145.12; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=89:track=0:dur_bin=1:dur_steps=2]
145.48000000000002	814	melody=[pitch=88:track=0:dur_bin=1:dur_steps=2]
145.84	816	timestamp=145.84; rhythm=eighth_position:2; melody=[pitch=86:track=0:dur_bin=3:dur_steps=4]
146.56	820	timestamp=146.56; rhythm=eighth_position:4; melody=[pitch=88:track=0:dur_bin=3:dur_steps=4]
147.28	824	timestamp=147.28; rhythm=eighth_position:6; melody=[pitch=89:track=0:dur_bin=3:dur_steps=4]
148.0	828	timestamp=148.0; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=89:track=0:dur_bin=3:dur_steps=4]
148.72	832	timestamp=148.72; rhythm=eighth_position:2; melody=[pitch=89:track=0:dur_bin=3:dur_steps=4]
149.44	836	timestamp=149.44; rhythm=eighth_position:4; melody=[pitch=89:track=0:dur_bin=3:dur_steps=4]
150.16	840	timestamp=150.16; rhythm=eighth_position:6; melody=[pitch=89:track=0:dur_bin=3:dur_steps=4]
150.88	844	timestamp=150.88; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=88:track=0:dur_bin=4:dur_steps=6]
151.6	848	timestamp=151.6; rhythm=eighth_position:2
151.95999999999998	850	melody=[pitch=86:track=0:dur_bin=1:dur_steps=2]
152.32	852	timestamp=152.32; rhythm=eighth_position:4; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
153.04	856	timestamp=153.04; rhythm=eighth_position:6; chord=G:maj6; melody=[pitch=83:track=0:dur_bin=4:dur_steps=6]
153.76	860	timestamp=153.76; rhythm=eighth_position:0; chord=G:maj6
154.48	864	timestamp=154.48; rhythm=eighth_position:2; melody=[pitch=81:track=0:dur_bin=1:dur_steps=2]
154.83999999999997	866	melody=[pitch=83:track=0:dur_bin=1:dur_steps=2]
155.2	868	timestamp=155.2; rhythm=eighth_position:4; chord=C:maj; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
155.92	872	timestamp=155.92; rhythm=eighth_position:6; melody=[pitch=76:track=0:dur_bin=3:dur_steps=4]
156.64	876	timestamp=156.64; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=78:track=0:dur_bin=3:dur_steps=4]
157.36	880	timestamp=157.36; rhythm=eighth_position:2; melody=[pitch=79:track=0:dur_bin=4:dur_steps=6]
158.08	884	timestamp=158.08; rhythm=eighth_position:4
158.44	886	melody=[pitch=64:track=1:dur_bin=3:dur_steps=4]
158.8	888	timestamp=158.8; rhythm=eighth_position:6
159.16000000000003	890	melody=[pitch=67:track=1:dur_bin=3:dur_steps=4]
159.52	892	timestamp=159.52; rhythm=eighth_position:0; structure=interlude; chord=C:maj
159.88	894	melody=[pitch=72:track=1:dur_bin=5:dur_steps=8]
160.24	896	timestamp=160.24; rhythm=eighth_position:2
160.96	900	timestamp=160.96; rhythm=eighth_position:4
161.68	904	timestamp=161.68; rhythm=eighth_position:6; chord=A:min
162.04000000000002	906	melody=[pitch=69:track=1:dur_bin=3:dur_steps=4]
162.4	908	timestamp=162.4; rhythm=eighth_position:0; chord=A:min
162.76	910	melody=[pitch=72:track=1:dur_bin=3:dur_steps=4]
